id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,-603947.1161635,333.4215000504628,0,1,0.5094958970446141,0.4021925381624785,0.8752925215973281,0.9917761699037754,3d gaze,10.157239857210088,78.31435392319868,693.5078222417036,-603947.1161635 -603947.1123505 -603947.1085254999 -603947.104848 -603947.100065 -603947.097696 -603947.094872 -603947.0905425 -603947.086488 -603947.0824755 -603947.077357 -603947.0736895001 -603947.0698665001 -603947.0639855 -603947.0579240001 -603947.0548180001 -603947.049047 -603947.0457649999 -603947.0417025 -603947.038248 -603947.0341225 -603947.0302505 -603947.0267340001 -603947.022708 -603947.0186360001 -603947.014711 -603947.010516 -603947.0065235 -603947.002809 -603946.9987665 -603946.9947665001 -603946.9908385 -603946.9866485 -603946.9826195 -603946.978366 -603946.9743615 -603946.970574 -603946.9665020001 -603946.960772 -603946.9568795001 -603946.952865 -603946.948829 -603946.9448265 -603946.9387795001 -603946.934685 -603946.9299425001 -603946.9258775 -603946.9227105 -603946.9188715001 -603946.9148325 -603946.9106604999 -603946.906599 -603946.9026925 -603946.8987634999 -603946.894724 -603946.890435 -603946.88636 -603946.8826250001 -603946.878784 -603946.8747119999 -603946.8700775 -603946.8660025 -603946.8607225 -603946.8563975 -603946.8522995 -603946.8486055001 -603946.844542 -603946.8386945 -603946.8344825 -603946.8305295 -603946.8247805 -603946.8206714999 -603946.817623 -603946.8137255 -603946.8108345 -603946.806881 -603946.8027595 -603946.798684 -603946.793292 -603946.7892945 -603946.7868039999 -603946.782742
1,-603946.7699104999,263.0279998993501,1,8,0.5065602261607867,0.3554648454377087,1.3261391972117686,0.9692979549930503,3d gaze,7.135679328853664,118.34972702782846,708.8986121450782,-603946.7699104999 -603946.7668375 -603946.760811 -603946.756744 -603946.751572 -603946.746511 -603946.7413685 -603946.7386139999 -603946.7343345 -603946.7294129999 -603946.7255790001 -603946.7227555 -603946.7188115 -603946.7147895 -603946.710393 -603946.706382 -603946.7028015 -603946.69888 -603946.6948975 -603946.689734 -603946.685664 -603946.682518 -603946.678376 -603946.6746690001 -603946.6705835001 -603946.666183 -603946.660465 -603946.656847 -603946.652853 -603946.648847 -603946.6448039999 -603946.638857 -603946.6349124999 -603946.6308955001 -603946.626897 -603946.622877 -603946.6183235 -603946.6141765 -603946.6100825 -603946.6057810001 -603946.6022030001 -603946.5986565 -603946.5925925 -603946.5883095 -603946.5845865 -603946.5818355 -603946.578467 -603946.5743570001 -603946.5707325 -603946.56684 -603946.560757 -603946.5566435 -603946.55277 -603946.548895 -603946.5436995 -603946.537688 -603946.5342105001 -603946.5295275 -603946.5253135001 -603946.5219235 -603946.5187715 -603946.5148455 -603946.5108585 -603946.5068825
2,-603943.9387739999,221.8054998666048,85,92,0.5022720755110446,0.3949385245142637,1.4159813622122086,0.977565790004917,3d gaze,2.486983432083374,85.73656156150619,706.6784497798022,-603943.9387739999 -603943.9346769999 -603943.9308394999 -603943.9268745 -603943.922799 -603943.917517 -603943.9120690001 -603943.909339 -603943.903472 -603943.8981410001 -603943.8954065 -603943.8927245 -603943.890378 -603943.886284 -603943.8825310001 -603943.878595 -603943.874353 -603943.869741 -603943.865631 -603943.859271 -603943.8546755 -603943.8498424999 -603943.8453825 -603943.842887 -603943.837574 -603943.833615 -603943.8308645 -603943.8268705 -603943.8228879999 -603943.818795 -603943.8140215001 -603943.807231 -603943.8029110001 -603943.8010995 -603943.7981035 -603943.7947790001 -603943.7908020001 -603943.7867895 -603943.7812175001 -603943.7746565 -603943.7716165 -603943.766975 -603943.7628985001 -603943.7596410001 -603943.756906 -603943.750446 -603943.7440945001 -603943.7392875 -603943.734652 -603943.7329820001 -603943.728686 -603943.7253340001 -603943.7216395 -603943.7169685
3,-603943.711331,309.62399987038225,92,101,0.4960264535068054,0.40133340477149754,1.4874545417818552,0.9790985462385082,3d gaze,-4.061359127398265,76.38676464395583,670.2805168971764,-603943.711331 -603943.708046 -603943.703856 -603943.70102 -603943.6984315 -603943.694623 -603943.6908285001 -603943.6868944999 -603943.6828095 -603943.677713 -603943.672729 -603943.669421 -603943.6653655 -603943.6597135 -603943.6568165 -603943.652785 -603943.6487830001 -603943.6442495 -603943.6374405001 -603943.6339334999 -603943.63079 -603943.6268285001 -603943.6196405 -603943.614039 -603943.6119145 -603943.6091150001 -603943.6061430001 -603943.60253 -603943.5986929999 -603943.59473 -603943.5905085001 -603943.586508 -603943.5828845 -603943.5789505001 -603943.5746975001 -603943.570451 -603943.566604 -603943.560755 -603943.556777 -603943.5528 -603943.5488615 -603943.5448895 -603943.5389335 -603943.534876 -603943.530449 -603943.5264854999 -603943.522875 -603943.5184085 -603943.5144055 -603943.509625 -603943.5054649999 -603943.502414 -603943.4979935 -603943.493875 -603943.4904815 -603943.4865355 -603943.48178 -603943.4781220001 -603943.4749040001 -603943.4708625 -603943.466861 -603943.4608915 -603943.4568350001 -603943.451065 -603943.4452790001 -603943.4428485001 -603943.4386245001 -603943.4347985 -603943.4306905 -603943.4266855 -603943.4227645 -603943.4187355 -603943.4146415 -603943.410718 -603943.4059715001 -603943.4017070001
4,-603943.398517,299.1385000059381,101,110,0.47859171087057983,0.40480649218725206,0.8549844889249342,0.9902441001878697,3d gaze,-21.349699319807183,71.21714655570179,647.8753216930639,-603943.398517 -603943.3946435 -603943.3899630001 -603943.384412 -603943.381183 -603943.378903 -603943.374867 -603943.3708555 -603943.3668625 -603943.360854 -603943.3568835 -603943.352894 -603943.3488835 -603943.3448985 -603943.3389425001 -603943.334869 -603943.3307175001 -603943.3264355 -603943.322408 -603943.318061 -603943.3140745 -603943.3107525001 -603943.306888 -603943.3025105 -603943.2984965001 -603943.2917790001 -603943.286576 -603943.284763 -603943.2807435 -603943.2776545 -603943.27491 -603943.2708925 -603943.2668915 -603943.260653 -603943.256389 -603943.2526380001 -603943.248874 -603943.2448825 -603943.2388885 -603943.234833 -603943.2306830001 -603943.2257000001 -603943.221502 -603943.2170770001 -603943.2126955 -603943.20995 -603943.2067054999 -603943.2028955 -603943.198901 -603943.194693 -603943.190097 -603943.186097 -603943.1826515 -603943.1787095 -603943.174508 -603943.170194 -603943.165754 -603943.160251 -603943.15693 -603943.1528865 -603943.1488315 -603943.1448830001 -603943.1389455 -603943.1349195 -603943.13077 -603943.1264515 -603943.1225785001 -603943.1183684999 -603943.1143075 -603943.1099105 -603943.1050130001 -603943.0993785
5,-603942.8218305,661.6415000753477,119,139,0.47941212062906624,0.4048875335317842,1.1906896154943571,0.9897648758885456,3d gaze,-20.663664021362298,71.6203213213961,652.1170820695112,-603942.8218305 -603942.817255 -603942.8126505 -603942.8083875 -603942.805434 -603942.800443 -603942.7965825 -603942.793665 -603942.790224 -603942.7863779999 -603942.782699 -603942.7779965 -603942.773362 -603942.76749 -603942.7636205 -603942.7602385001 -603942.756895 -603942.7528184999 -603942.7487565 -603942.7427884999 -603942.7388665001 -603942.7345315 -603942.7297730001 -603942.7260815001 -603942.7228865001 -603942.717896 -603942.7124165 -603942.70941 -603942.7065650001 -603942.7018455 -603942.6981275 -603942.6948885 -603942.6909445 -603942.686942 -603942.682917 -603942.678879 -603942.674889 -603942.6696735 -603942.662809 -603942.6572509999 -603942.655302 -603942.6520954999 -603942.6487225001 -603942.644625 -603942.638038 -603942.6341005 -603942.6305485 -603942.6261035 -603942.6223965001 -603942.6181315 -603942.6137565 -603942.6104225 -603942.6068444999 -603942.6029475001 -603942.5989505 -603942.5949339999 -603942.590921 -603942.5850525 -603942.581051 -603942.5785080001 -603942.5731240001 -603942.5683465 -603942.562949 -603942.557974 -603942.5561490001 -603942.5523235 -603942.548943 -603942.544895 -603942.538881 -603942.5349320001 -603942.5309349999 -603942.526263 -603942.5222165 -603942.5146245 -603942.5083385 -603942.5060604999 -603942.5042254999 -603942.5003225 -603942.4987260001 -603942.4948515 -603942.4892605001 -603942.4847164999 -603942.4817969999 -603942.4775525001 -603942.4740845 -603942.47086 -603942.4661455001 -603942.4598305 -603942.4562670001 -603942.451506 -603942.44672 -603942.443743 -603942.4388705001 -603942.4344715 -603942.4303979999 -603942.426735 -603942.421601 -603942.4177175001 -603942.414411 -603942.4103560001 -603942.4068205 -603942.4029025 -603942.3989515 -603942.394952 -603942.3908445 -603942.3862825001 -603942.3814985 -603942.3757440001 -603942.3722560001 -603942.370494 -603942.3666165001 -603942.3605095 -603942.3565795 -603942.352691 -603942.3487155 -603942.3446155 -603942.3387665 -603942.3349164999 -603942.3309259999 -603942.3269425 -603942.3229 -603942.3182775 -603942.3142494999 -603942.309958 -603942.305932 -603942.302803 -603942.298855 -603942.2946029999 -603942.29036 -603942.2866105 -603942.2828985001 -603942.278862 -603942.2748375 -603942.2709069999 -603942.2669375001 -603942.2609280001 -603942.256885 -603942.25291 -603942.2489465 -603942.244925 -603942.2389215 -603942.2339395001 -603942.2290435 -603942.2237055 -603942.220241 -603942.2176315 -603942.2126325 -603942.2091290001 -603942.2063205 -603942.201984 -603942.196565 -603942.1932514999 -603942.1881985 -603942.183674 -603942.180176 -603942.176988 -603942.17223 -603942.167967 -603942.162297 -603942.160189
6,-603941.4788765,213.2355000358075,159,166,0.4579630393350501,0.42128205781538075,1.442220690530742,0.9895484377228897,3d gaze,-43.6575247360381,61.34466455349661,674.9814608725377,-603941.4788765 -603941.4749305 -603941.470952 -603941.466948 -603941.4627960001 -603941.458691 -603941.452787 -603941.4488375001 -603941.4427555001 -603941.438729 -603941.4347375 -603941.4308385 -603941.4267845 -603941.4227945 -603941.418226 -603941.4138835 -603941.410376 -603941.406741 -603941.402876 -603941.3976375 -603941.3936725 -603941.389363 -603941.3853125001 -603941.382768 -603941.3778840001 -603941.3739140001 -603941.3685255 -603941.3638815 -603941.360355 -603941.357058 -603941.352912 -603941.3419145 -603941.337905 -603941.332973 -603941.3286445 -603941.325375 -603941.3226435 -603941.3188425 -603941.3145115001 -603941.3090275 -603941.3053905 -603941.302793 -603941.297911 -603941.293994 -603941.290897 -603941.2868475 -603941.2819265 -603941.2778015 -603941.27437 -603941.2693875 -603941.265641
7,-603941.2627970001,397.7530001429841,166,178,0.46295670431285,0.42594049446809756,0.9269197137594798,0.9889956483196749,3d gaze,-38.480992863259104,57.71663362792431,674.6695343222179,-603941.2627970001 -603941.2586615001 -603941.2514635001 -603941.2456455 -603941.2414520001 -603941.237454 -603941.2339385 -603941.229319 -603941.2261095 -603941.2227205 -603941.218765 -603941.2144635001 -603941.2093984999 -603941.205547 -603941.2025075001 -603941.1984755 -603941.1946505 -603941.1907629999 -603941.1867255 -603941.182824 -603941.1783050001 -603941.1740375 -603941.168366 -603941.164105 -603941.160606 -603941.1568625 -603941.1526175 -603941.148899 -603941.143808 -603941.13641 -603941.133376 -603941.1306065 -603941.1265595 -603941.122723 -603941.1186919999 -603941.1138875 -603941.1097580001 -603941.1044005 -603941.1005375 -603941.097418 -603941.093511 -603941.090798 -603941.0866894999 -603941.081618 -603941.0776760001 -603941.0734250001 -603941.0680740001 -603941.0632345 -603941.060641 -603941.0538890001 -603941.04987 -603941.047674 -603941.0397555 -603941.032257 -603941.0276365001 -603941.0229865001 -603941.019634 -603941.016483 -603941.01239 -603941.0085720001 -603941.005923 -603941.001155 -603940.995734 -603940.9927065 -603940.9886805001 -603940.9866770001 -603940.9821794999 -603940.977959 -603940.973764 -603940.967359 -603940.9633800001 -603940.9610505 -603940.9559765001 -603940.950927 -603940.94878 -603940.9447965 -603940.9384 -603940.9334055 -603940.927123 -603940.923421 -603940.9201375 -603940.917537 -603940.9148505001 -603940.9103875 -603940.9060525 -603940.9011175 -603940.896898 -603940.8937985001 -603940.8878949999 -603940.8838485 -603940.881791 -603940.8746555 -603940.8694995 -603940.865044
8,-603938.1667855,213.95800006575882,258,264,0.44428921466806665,0.40289905707378565,1.2495828815516838,0.9439234799309424,3d gaze,-53.00682847481421,69.3954381801603,618.5160461028678,-603938.1667855 -603938.162959 -603938.1589305 -603938.1522540001 -603938.1475760001 -603938.1440290001 -603938.1405150001 -603938.1329910001 -603938.1289585 -603938.1251274999 -603938.1217024999 -603938.117748 -603938.114847 -603938.1103225 -603938.105375 -603938.1019240001 -603938.0983790001 -603938.0943355 -603938.0906390001 -603938.086073 -603938.0819275 -603938.0779510001 -603938.0739434999 -603938.0665135 -603938.0616165 -603938.0587255 -603938.052645 -603938.048746 -603938.044611 -603938.04049 -603938.0366785 -603938.030907 -603938.0269470001 -603938.0224515 -603938.018273 -603938.0147599999 -603938.0089964999 -603938.0050055 -603938.0022755 -603937.9970975 -603937.9937505 -603937.989239 -603937.9852355 -603937.982906 -603937.978904 -603937.9749085 -603937.9709300001 -603937.966942 -603937.962956 -603937.958861 -603937.9528275
9,-603937.922054,207.76649995241314,265,272,0.5020401379906994,0.42299645941261327,1.4818006226703175,0.9758306845122182,3d gaze,2.2886822644585423,63.19254346119692,711.6138269866212,-603937.922054 -603937.91388 -603937.910653 -603937.9065970001 -603937.902676 -603937.8987370001 -603937.8931235 -603937.8889745 -603937.8844155001 -603937.8795350001 -603937.8774035 -603937.87368 -603937.870078 -603937.8663125001 -603937.8618095 -603937.8573635 -603937.8513160001 -603937.8476975 -603937.8442795 -603937.8404905 -603937.8339025001 -603937.830073 -603937.826328 -603937.8213445 -603937.8171715001 -603937.81215 -603937.8069825 -603937.804522 -603937.7988780001 -603937.7949845 -603937.791885 -603937.7902115 -603937.7867865 -603937.782618 -603937.7776925 -603937.7715265 -603937.7680535 -603937.7646855 -603937.760824 -603937.7585625 -603937.752358 -603937.747967 -603937.7429215 -603937.737876 -603937.732448 -603937.7288144999 -603937.724896 -603937.7215675 -603937.7183355 -603937.7142875
